# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
1.064032567E1,4.687500000E1
1.068299234E1,4.687500000E1
1.072565901E1,2.343750000E1
1.076832567E1,4.687500000E1
1.081099234E1,6.093750000E2
1.085365901E1,4.687500000E1
1.089632567E1,4.687500000E1
1.093899234E1,4.453125000E2
1.098165901E1,2.578125000E2
1.102432567E1,4.687500000E1
1.106699234E1,2.578125000E2
1.110965901E1,1.875000000E2
1.115232567E1,7.031250000E1
1.119499234E1,9.375000000E1
1.123765901E1,2.578125000E2
1.128032567E1,2.578125000E2
1.132299234E1,2.343750000E1
1.136565901E1,4.218750000E2
1.140832567E1,4.687500000E1
1.145099234E1,2.812500000E2
1.149365901E1,2.343750000E2
1.153632567E1,4.453125000E2
1.157899234E1,2.578125000E2
1.162165901E1,3.984375000E2
1.166432567E1,2.578125000E2
1.170699234E1,4.687500000E1
1.174965901E1,2.109375000E2
1.179232567E1,1.640625000E2
1.183499234E1,4.687500000E1
1.187765901E1,2.578125000E2
1.192032567E1,4.687500000E1
1.196299234E1,2.578125000E2
1.200565901E1,2.343750000E2
1.204832567E1,4.687500000E1
1.209099234E1,4.687500000E1
1.213365901E1,4.687500000E1
1.217632567E1,2.578125000E2
1.221899234E1,4.687500000E1
1.226165901E1,4.687500000E1
1.230432567E1,4.687500000E1
1.234699234E1,4.687500000E1
1.238965901E1,4.687500000E1
1.243232567E1,4.687500000E1
1.247499234E1,4.687500000E1
1.251765901E1,4.687500000E1
1.256032567E1,4.687500000E1
1.260299234E1,4.687500000E1
1.264565901E1,4.687500000E1
1.268832567E1,4.687500000E1
1.273099234E1,4.687500000E1
1.277365901E1,4.687500000E1
1.281632567E1,4.687500000E1
1.285899234E1,4.687500000E1
1.290165901E1,4.687500000E1
1.294432567E1,4.687500000E1
1.298699234E1,4.687500000E1
1.302965901E1,4.687500000E1
1.307232567E1,4.687500000E1
1.311499234E1,2.343750000E1
1.315765901E1,4.687500000E1
1.320032567E1,4.687500000E1
1.324299234E1,2.343750000E1
1.328565901E1,4.687500000E1
1.332832567E1,6.328125000E2
1.337099234E1,8.906250000E2
1.341365901E1,8.437500000E2
1.345632567E1,8.437500000E2
1.349899234E1,2.812500000E2
1.354165901E1,2.343750000E1
1.358432567E1,2.812500000E2
1.362699234E1,7.265625000E2
1.366965901E1,2.812500000E2
1.371232567E1,2.343750000E1
1.375499234E1,7.031250000E1
1.379765901E1,4.687500000E1
1.384032567E1,4.687500000E1
1.388299234E1,2.343750000E1
