"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.300771000E-1,-3.231165409E-1,4.916715622E-2,-3.355989456E-1
4.350771000E-1,-6.459255219E-1,1.711573601E-1,-2.446742058E-1
4.400771000E-1,-8.030122519E-1,1.652369499E-1,-1.105794907E-1
4.450771000E-1,-8.670217991E-1,1.098432541E-1,-9.892082214E-2
4.500771000E-1,-6.381791830E-1,-1.208825111E-1,-1.458959579E-1
4.550771000E-1,-3.533364534E-1,-3.732948303E-1,2.269363403E-2
4.600771000E-1,-1.613134146E-1,-4.150528908E-1,-1.424312592E-2
4.650771000E-1,-3.726148605E-2,-3.533968925E-1,-5.151844025E-2
4.700771000E-1,8.406400681E-3,-1.997380257E-1,-2.647018433E-2
4.750771000E-1,5.667316914E-2,-8.215427399E-2,-1.787662506E-2
4.800771000E-1,1.066510677E-1,-1.699876785E-2,2.986812592E-2
4.850771000E-1,2.219073772E-1,-1.594495773E-2,1.496877670E-1
4.900771000E-1,2.878262997E-1,2.869939804E-2,2.235116959E-1
4.950771000E-1,2.362290621E-1,1.107444763E-1,1.363515854E-1
5.000771000E-1,1.419284344E-1,7.623052597E-2,9.280681610E-2
5.050771000E-1,4.433965683E-2,4.011154175E-3,1.834096909E-1
5.100771000E-1,2.118045092E-1,-1.428222656E-1,3.462495804E-1
5.150771000E-1,6.981140375E-1,-4.560365677E-1,4.274682999E-1
5.200771000E-1,6.658824682E-1,-5.190458298E-1,3.148174286E-2
5.250771000E-1,1.853466034E-1,-2.626647949E-1,-3.002223969E-1
5.300771000E-1,-1.282961369E-1,-2.033891678E-1,-2.410402298E-1
5.350771000E-1,-1.118198633E-1,-1.879305840E-1,-2.995586395E-2
5.400771000E-1,1.003905535E-1,-1.358394623E-1,-8.496952057E-2
5.450771000E-1,2.835583687E-1,-7.996892929E-2,6.063365936E-2
5.500771000E-1,4.456175566E-1,-1.957988739E-2,2.616662979E-1
5.550771000E-1,5.408452749E-1,1.679115295E-1,3.701267242E-1
5.600771000E-1,5.411795378E-1,4.702429771E-1,4.926910400E-1
5.650771000E-1,4.377199411E-1,6.872587204E-1,6.385374069E-1
5.700771000E-1,4.141637087E-1,6.821408272E-1,7.301959991E-1
