# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.453125000E3,1.298344348E-1
4.476562500E3,5.480768439E-2
4.500000000E3,3.411426109E-1
4.523437500E3,3.553305644E-1
4.546875000E3,2.539060040E-1
4.570312500E3,1.516760753E-1
4.593750000E3,2.406317185E-1
4.617187500E3,1.391630354E-1
4.640625000E3,2.010249681E-1
4.664062500E3,1.260379316E-1
4.687500000E3,1.525105770E-1
4.710937500E3,1.646481561E-1
4.734375000E3,3.277877793E-2
4.757812500E3,1.665642612E-2
4.781250000E3,1.733982946E-1
4.804687500E3,1.107301584E-1
4.828125000E3,1.240833001E-1
4.851562500E3,8.429283881E-2
4.875000000E3,5.234840308E-2
4.898437500E3,2.415131442E-1
4.921875000E3,1.588245576E-1
4.945312500E3,8.655014698E-2
4.968750000E3,1.941726606E-1
4.992187500E3,5.082715778E-2
5.015625000E3,1.713735349E-1
5.039062500E3,1.350750465E-1
5.062500000E3,4.390605308E-2
5.085937500E3,1.144586269E-1
5.109375000E3,1.142409486E-1
5.132812500E3,1.270755443E-1
5.156250000E3,8.020518920E-2
5.179687500E3,4.850156969E-2
5.203125000E3,7.138164478E-2
5.226562500E3,1.522678693E-1
5.250000000E3,6.050075531E-2
5.273437500E3,1.052575588E-1
5.296875000E3,8.966750080E-2
5.320312500E3,3.972767991E-2
5.343750000E3,1.457374834E-1
5.367187500E3,6.315633155E-2
5.390625000E3,7.598086974E-2
5.414062500E3,2.304697631E-1
5.437500000E3,3.318381151E-2
5.460937500E3,4.058737699E-2
5.484375000E3,6.178191457E-2
5.507812500E3,9.319478250E-2
5.531250000E3,9.251180491E-2
5.554687500E3,1.177223038E-1
5.578125000E3,1.808027491E-1
5.601562500E3,6.369127224E-2
5.625000000E3,4.675728250E-2
5.648437500E3,5.763714947E-2
5.671875000E3,1.287772820E-1
5.695312500E3,1.574401720E-2
5.718750000E3,9.987579885E-2
5.742187500E3,2.236600715E-2
5.765625000E3,1.088161376E-1
5.789062500E3,1.317230139E-2
5.812500000E3,4.030992950E-2
5.835937500E3,9.272236599E-2
5.859375000E3,4.471358044E-2
5.882812500E3,9.459226134E-2
5.906250000E3,3.225880774E-2
5.929687500E3,4.464999164E-2
5.953125000E3,2.386737580E-2
5.976562500E3,7.558270523E-2
6.000000000E3,8.146337550E-2
6.023437500E3,2.965430636E-2
6.046875000E3,9.283498774E-2
6.070312500E3,5.847798391E-2
6.093750000E3,8.826474794E-2
6.117187500E3,7.123927881E-2
6.140625000E3,3.446129298E-2
6.164062500E3,5.714467857E-2
6.187500000E3,8.439641587E-2
6.210937500E3,3.847461462E-2
6.234375000E3,1.229950075E-1
6.257812500E3,3.312088591E-2
6.281250000E3,3.641384020E-2
6.304687500E3,1.171072993E-1
6.328125000E3,1.317913055E-1
6.351562500E3,4.372132882E-2
6.375000000E3,3.645645948E-2
6.398437500E3,2.502034446E-2
6.421875000E3,7.848223887E-2
6.445312500E3,7.532640382E-2
6.468750000E3,9.308857264E-2
6.492187500E3,1.181221663E-1
6.515625000E3,6.256473274E-2
6.539062500E3,3.046211947E-2
6.562500000E3,5.372129599E-2
6.585937500E3,4.621960419E-2
6.609375000E3,3.425813452E-2
6.632812500E3,3.920740009E-2
6.656250000E3,5.294717319E-2
6.679687500E3,3.517500991E-2
6.703125000E3,5.392658831E-2
6.726562500E3,5.679332160E-2
6.750000000E3,6.247839196E-2
6.773437500E3,6.748155382E-2
6.796875000E3,4.795620865E-2
6.820312500E3,8.184107461E-2
6.843750000E3,5.171848449E-2
6.867187500E3,7.021030508E-2
6.890625000E3,2.404685899E-2
6.914062500E3,3.797706540E-2
6.937500000E3,5.946551288E-2
6.960937500E3,4.230775303E-2
6.984375000E3,4.167404686E-2
7.007812500E3,4.220815998E-2
7.031250000E3,4.662520755E-2
7.054687500E3,2.619839552E-2
7.078125000E3,3.692403430E-2
7.101562500E3,5.342560716E-2
