"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.800771000E-1,7.591831578E-1,2.557130158E-1,-1.006290987E-1,-5.900216699E-1,8.121552058E1,3.084606059E1,8.566697045E0,-7.333980368E1
2.850771000E-1,7.588852818E-1,2.548536658E-1,-1.008269489E-1,-5.907424688E-1,8.126794980E1,3.076875224E1,8.515304889E0,-7.344983869E1
2.900771000E-1,7.588209195E-1,2.539646626E-1,-1.012222469E-1,-5.911402702E-1,8.127927455E1,3.070515034E1,8.432164611E0,-7.351997712E1
2.950771000E-1,7.584585563E-1,2.532109022E-1,-1.019401401E-1,-5.918049216E-1,8.134300917E1,3.067408043E1,8.341226971E0,-7.363648491E1
3.000771000E-1,7.583673716E-1,2.528303862E-1,-1.025801972E-1,-5.919738412E-1,8.135904078E1,3.067884974E1,8.264959098E0,-7.367967803E1
3.050771000E-1,7.579379037E-1,2.526555061E-1,-1.032870412E-1,-5.924754143E-1,8.143451254E1,3.070503706E1,8.210714601E0,-7.377118140E1
3.100771000E-1,7.579297268E-1,2.528061867E-1,-1.036763936E-1,-5.923535824E-1,8.143594892E1,3.074717015E1,8.183417024E0,-7.376463696E1
3.150771000E-1,7.574524279E-1,2.530198693E-1,-1.041332483E-1,-5.927925706E-1,8.151975724E1,3.079475831E1,8.176596742E0,-7.383908775E1
3.200771000E-1,7.574284236E-1,2.533499897E-1,-1.042705104E-1,-5.926581025E-1,8.152397024E1,3.083732121E1,8.183561298E0,-7.382303128E1
3.250771000E-1,7.569834526E-1,2.536398768E-1,-1.044794992E-1,-5.930656791E-1,8.160203484E1,3.087578577E1,8.202476087E0,-7.388574852E1
3.300771000E-1,7.569813225E-1,2.541437745E-1,-1.043965369E-1,-5.928672552E-1,8.160240837E1,3.092086453E1,8.238534938E0,-7.385379151E1
3.350771000E-1,7.567521038E-1,2.548690736E-1,-1.042850241E-1,-5.928681493E-1,8.164259773E1,3.098363114E1,8.300896803E0,-7.384848943E1
3.400771000E-1,7.568921701E-1,2.557375431E-1,-1.039589867E-1,-5.923724174E-1,8.161804158E1,3.105053023E1,8.372734668E0,-7.376638464E1
3.450771000E-1,7.569601638E-1,2.567183673E-1,-1.035665944E-1,-5.919298530E-1,8.160611886E1,3.112349478E1,8.460466101E0,-7.368952060E1
3.500771000E-1,7.574403706E-1,2.577888966E-1,-1.029395759E-1,-5.909588933E-1,8.152187345E1,3.119466363E1,8.554152392E0,-7.353104695E1
3.550771000E-1,7.577103772E-1,2.586824298E-1,-1.023800671E-1,-5.903191566E-1,8.147447309E1,3.125022355E1,8.642081690E0,-7.342186096E1
3.600771000E-1,7.581226351E-1,2.594485879E-1,-1.017165780E-1,-5.895678401E-1,8.140205617E1,3.128769902E1,8.725329783E0,-7.329442453E1
3.650771000E-1,7.583803533E-1,2.603890300E-1,-1.010759100E-1,-5.889316201E-1,8.135675856E1,3.134281770E1,8.823705849E0,-7.318332462E1
