"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.280358076E2,5.336065360E1,-6.271523980E0,1.936677143E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.290351263E2,5.336065343E1,-6.271524110E0,1.936396383E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.300348676E2,5.336065344E1,-6.271524010E0,1.937665922E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.310356744E2,5.336065332E1,-6.271524060E0,1.939295566E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.320357299E2,5.336065317E1,-6.271524130E0,1.941285318E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.330355753E2,5.336065309E1,-6.271524170E0,1.942890546E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.340354697E2,5.336065299E1,-6.271524170E0,1.944892507E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.350353575E2,5.336065295E1,-6.271524200E0,1.945423514E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.360353068E2,5.336065295E1,-6.271524190E0,1.945692069E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.370356406E2,5.336065288E1,-6.271524160E0,1.946552673E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.380357292E2,5.336065289E1,-6.271524110E0,1.948438663E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.390356374E2,5.336065285E1,-6.271524120E0,1.949995061E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.400354580E2,5.336065281E1,-6.271524070E0,1.951502637E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.410351937E2,5.336065288E1,-6.271523990E0,1.952753859E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.420350007E2,5.336065284E1,-6.271523900E0,1.953236047E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.430349265E2,5.336065281E1,-6.271523930E0,1.953626672E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.440357558E2,5.336065279E1,-6.271523880E0,1.954096649E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.450356469E2,5.336065278E1,-6.271523840E0,1.955720188E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.460354438E2,5.336065283E1,-6.271523770E0,1.956812719E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.470353059E2,5.336065275E1,-6.271523710E0,1.956684557E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.480357858E2,5.336065270E1,-6.271523700E0,1.956879874E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.490356984E2,5.336065263E1,-6.271523700E0,1.958039548E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.500356343E2,5.336065266E1,-6.271523640E0,1.958363037E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.510351837E2,5.336065263E1,-6.271523590E0,1.958430182E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.520349615E2,5.336065261E1,-6.271523530E0,1.959449476E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.530358199E2,5.336065259E1,-6.271523470E0,1.960712910E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.540355830E2,5.336065256E1,-6.271523450E0,1.962073998E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.550354315E2,5.336065255E1,-6.271523370E0,1.963514435E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.560355701E2,5.336065253E1,-6.271523360E0,1.965101352E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.570350285E2,5.336065245E1,-6.271523370E0,1.966608926E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.580357976E2,5.336065240E1,-6.271523270E0,1.967786916E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.590355003E2,5.336065239E1,-6.271523270E0,1.969459281E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.600350469E2,5.336065230E1,-6.271523150E0,1.970789864E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.610358376E2,5.336065226E1,-6.271523080E0,1.971906817E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.620355450E2,5.336065221E1,-6.271523100E0,1.973072590E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.630358450E2,5.336065220E1,-6.271523040E0,1.973377772E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.640355279E2,5.336065217E1,-6.271523020E0,1.974140715E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.650349564E2,5.336065211E1,-6.271523000E0,1.975416357E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.660348840E2,5.336065202E1,-6.271522950E0,1.976453966E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.670350272E2,5.336065197E1,-6.271522890E0,1.977644160E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.680350039E2,5.336065193E1,-6.271522880E0,1.978822143E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.690354490E2,5.336065196E1,-6.271522860E0,1.980085570E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.700348626E2,5.336065185E1,-6.271522800E0,1.980842419E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.710355980E2,5.336065180E1,-6.271522720E0,1.982014305E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.720358274E2,5.336065179E1,-6.271522680E0,1.983674466E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.730350662E2,5.336065178E1,-6.271522640E0,1.984907380E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.740357690E2,5.336065163E1,-6.271522590E0,1.987385423E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.750352234E2,5.336065161E1,-6.271522540E0,1.988868583E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.760351969E2,5.336065156E1,-6.271522440E0,1.988410832E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.770351604E2,5.336065150E1,-6.271522390E0,1.990046583E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.780354046E2,5.336065131E1,-6.271522330E0,1.993183810E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.790353073E2,5.336065129E1,-6.271522260E0,1.995033183E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.800358050E2,5.336065132E1,-6.271522180E0,1.997218246E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.810356418E2,5.336065119E1,-6.271522100E0,1.998347413E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.820354833E2,5.336065080E1,-6.271522070E0,2.005622837E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.830354199E2,5.336065075E1,-6.271522010E0,2.007606489E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.840356690E2,5.336065067E1,-6.271521950E0,2.009095758E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.850354698E2,5.336065034E1,-6.271521900E0,2.014112878E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.860352710E2,5.336065032E1,-6.271521890E0,2.015931729E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.870353083E2,5.336065027E1,-6.271521810E0,2.016554298E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.880352498E2,5.336065018E1,-6.271521780E0,2.018092393E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.890350439E2,5.336065007E1,-6.271521720E0,2.018641724E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.900355495E2,5.336065006E1,-6.271521700E0,2.019313113E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.910353516E2,5.336064999E1,-6.271521610E0,2.019563370E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.920352232E2,5.336065005E1,-6.271521550E0,2.020716935E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.930355225E2,5.336064999E1,-6.271521470E0,2.022309964E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.940353143E2,5.336064992E1,-6.271521480E0,2.023030183E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.950352140E2,5.336064989E1,-6.271521460E0,2.024665930E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.960352539E2,5.336064986E1,-6.271521410E0,2.025563153E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.970349633E2,5.336064986E1,-6.271521390E0,2.027205000E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.980357460E2,5.336064975E1,-6.271521380E0,2.028779717E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.990353405E2,5.336064959E1,-6.271521410E0,2.029719669E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.000351092E2,5.336064957E1,-6.271521320E0,2.030983105E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.010349816E2,5.336064952E1,-6.271521260E0,2.031501913E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.020357818E2,5.336064950E1,-6.271521250E0,2.032508996E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.030354276E2,5.336064947E1,-6.271521110E0,2.032551734E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.040354391E2,5.336064945E1,-6.271521040E0,2.032966781E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.050353850E2,5.336064946E1,-6.271520950E0,2.033137686E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.060355948E2,5.336064942E1,-6.271520930E0,2.034169185E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.070348543E2,5.336064931E1,-6.271520930E0,2.034584233E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.080352901E2,5.336064931E1,-6.271520860E0,2.034773448E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.090358574E2,5.336064934E1,-6.271520830E0,2.034828380E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.100356098E2,5.336064934E1,-6.271520770E0,2.034547623E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.110354270E2,5.336064931E1,-6.271520760E0,2.036012470E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.120353034E2,5.336064933E1,-6.271520730E0,2.036152852E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.130352423E2,5.336064936E1,-6.271520670E0,2.035969749E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.140358424E2,5.336064938E1,-6.271520590E0,2.037025662E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.150356733E2,5.336064935E1,-6.271520520E0,2.036879186E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.160354037E2,5.336064938E1,-6.271520490E0,2.037410192E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.170353486E2,5.336064945E1,-6.271520450E0,2.037483432E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.180357434E2,5.336064953E1,-6.271520430E0,2.038618681E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.190355367E2,5.336064941E1,-6.271520460E0,2.039717321E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.200353246E2,5.336064941E1,-6.271520460E0,2.040065221E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.210349302E2,5.336064932E1,-6.271520500E0,2.039937051E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.220349505E2,5.336064930E1,-6.271520510E0,2.041316447E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.230352820E2,5.336064933E1,-6.271520500E0,2.042128213E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.240354163E2,5.336064934E1,-6.271520480E0,2.041945108E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.250355953E2,5.336064937E1,-6.271520470E0,2.042268593E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.260355332E2,5.336064935E1,-6.271520440E0,2.042720257E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
3.270349209E2,5.336064938E1,-6.271520390E0,2.043361128E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
