"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.567614321E1,5.336068081E1,-6.271544130E0,3.401858840E1,0.000000000E0,NaN,3.790092468E0,3.240867853E0
4.667644712E1,5.336068091E1,-6.271544120E0,3.400326851E1,0.000000000E0,NaN,3.790092468E0,3.222484827E0
4.767566998E1,5.336068143E1,-6.271543920E0,3.392581465E1,0.000000000E0,NaN,3.790092468E0,3.167627573E0
4.867574858E1,5.336068151E1,-6.271543920E0,3.390188880E1,0.000000000E0,NaN,3.790092468E0,3.069657803E0
4.967589696E1,5.336068188E1,-6.271543950E0,3.384958136E1,0.000000000E0,NaN,3.790092468E0,3.190887213E0
5.067662748E1,5.336068163E1,-6.271544470E0,3.386636579E1,0.000000000E0,NaN,3.810286283E0,3.297300100E0
5.167573378E1,5.336068164E1,-6.271544480E0,3.386746440E1,0.000000000E0,NaN,3.790092468E0,3.217903852E0
5.267570795E1,5.336068159E1,-6.271544570E0,3.387478859E1,0.000000000E0,NaN,3.790092468E0,3.074386597E0
5.367651800E1,5.336068139E1,-6.271544660E0,3.389908066E1,0.000000000E0,NaN,3.790092468E0,3.000850677E0
5.467643508E1,5.336068108E1,-6.271544510E0,3.395010642E1,0.000000000E0,NaN,3.790092468E0,2.913398743E0
5.567614248E1,5.336068109E1,-6.271544530E0,3.394180562E1,0.000000000E0,NaN,3.790092468E0,2.852417231E0
5.667533602E1,5.336068103E1,-6.271544560E0,3.394845847E1,0.000000000E0,NaN,3.790092468E0,2.980864763E0
5.767457446E1,5.336068109E1,-6.271544600E0,3.394180556E1,0.000000000E0,NaN,3.790092468E0,2.973197937E0
5.867513790E1,5.336068101E1,-6.271544620E0,3.391940570E1,0.000000000E0,NaN,3.790092468E0,2.938562155E0
5.967533722E1,5.336068103E1,-6.271544620E0,3.391232561E1,0.000000000E0,NaN,3.790092468E0,2.820624828E0
6.067533503E1,5.336068105E1,-6.271544720E0,3.390732063E1,0.000000000E0,NaN,3.790092468E0,2.883479595E0
6.167454206E1,5.336068110E1,-6.271544780E0,3.389425901E1,0.000000000E0,NaN,3.790092468E0,3.002847433E0
6.267467722E1,5.336068093E1,-6.271544880E0,3.393179569E1,0.000000000E0,NaN,3.790092468E0,2.868487597E0
6.367515456E1,5.336068087E1,-6.271545010E0,3.394766476E1,0.000000000E0,NaN,9.980221748E0,3.044445992E0
6.467472805E1,5.336068084E1,-6.271545070E0,3.394674921E1,0.000000000E0,NaN,9.935046196E0,2.914214849E0
6.567486846E1,5.336068081E1,-6.271545130E0,3.395193717E1,0.000000000E0,NaN,9.935046196E0,2.865783453E0
6.667509544E1,5.336068096E1,-6.271545260E0,3.392721771E1,0.000000000E0,NaN,9.935046196E0,2.790765047E0
6.767516263E1,5.336068054E1,-6.271545610E0,3.399887302E1,0.000000000E0,NaN,9.935046196E0,2.715687275E0
6.867471612E1,5.336068053E1,-6.271545680E0,3.399191496E1,0.000000000E0,NaN,9.935046196E0,2.749639273E0
6.967541909E1,5.336068056E1,-6.271545710E0,3.398166101E1,0.000000000E0,NaN,9.935046196E0,2.809341669E0
7.067544695E1,5.336068066E1,-6.271545710E0,3.397549638E1,0.000000000E0,NaN,1.000805473E1,3.075747252E0
7.167491820E1,5.336068060E1,-6.271545810E0,3.398117261E1,0.000000000E0,NaN,1.008131218E1,3.113123417E0
7.267543674E1,5.336068067E1,-6.271545880E0,3.397079652E1,0.000000000E0,NaN,9.983113289E0,3.012056589E0
7.367551299E1,5.336068073E1,-6.271545940E0,3.396731742E1,0.000000000E0,NaN,9.983750343E0,3.026494503E0
7.467464752E1,5.336068076E1,-6.271545960E0,3.396664599E1,0.000000000E0,NaN,9.935046196E0,2.870773554E0
7.567474221E1,5.336068083E1,-6.271545960E0,3.396267865E1,0.000000000E0,NaN,9.935046196E0,2.719361067E0
7.667533961E1,5.336068054E1,-6.271546040E0,3.401754942E1,0.000000000E0,NaN,9.935046196E0,2.798718691E0
7.767522664E1,5.336068054E1,-6.271546070E0,3.401065242E1,0.000000000E0,NaN,9.935046196E0,2.846511841E0
