"Time (s)","Illuminance (lx)"
2.170608588E1,2.293750000E2
2.190606817E1,6.537500000E1
2.210606656E1,2.860000038E1
2.230606416E1,2.611250114E1
2.250608098E1,1.781000061E2
2.270606036E1,2.472624969E2
2.290608385E1,2.791625061E2
2.310605515E1,2.965000000E2
2.330607171E1,1.900625000E2
2.350605213E1,3.365125122E2
2.370606661E1,3.224624939E2
2.390604692E1,2.656499939E2
2.410604505E1,2.717375183E2
2.430605052E1,3.432375183E2
2.450605723E1,3.364125061E2
2.470605380E1,3.395500183E2
2.490605442E1,3.477749939E2
2.510604307E1,3.468750000E2
2.530604619E1,3.433875122E2
2.550608515E1,3.395500183E2
2.570604369E1,3.356250000E2
2.590604786E1,3.430500183E2
2.610602630E1,3.475750122E2
2.630604124E1,3.460874939E2
2.650603666E1,3.457875061E2
2.670603380E1,3.458875122E2
2.690601541E1,3.460375061E2
2.710601583E1,3.457375183E2
2.730601302E1,3.446375122E2
2.750602833E1,3.412500000E2
2.770600713E1,3.405000000E2
2.790602593E1,3.400000000E2
2.810600525E1,3.393625183E2
2.830602015E1,3.390125122E2
2.850600078E1,3.373625183E2
2.870601041E1,3.340249939E2
2.890599593E1,3.371125183E2
2.910599682E1,3.387124939E2
2.930600249E1,3.374125061E2
2.950600687E1,3.363625183E2
2.970598890E1,3.354750061E2
2.990600395E1,3.340249939E2
3.010598520E1,3.338750000E2
3.030599739E1,3.357124939E2
3.050598046E1,3.353250122E2
3.070599364E1,3.351750183E2
3.090597583E1,3.351750183E2
3.110597609E1,3.366625061E2
3.130597135E1,3.385125122E2
3.150598635E1,3.398999939E2
3.170596859E1,3.393625183E2
3.190598265E1,3.377625122E2
3.210596494E1,3.360125122E2
3.230597479E1,3.345249939E2
3.250595994E1,3.365625000E2
3.270597395E1,3.563999939E2
3.290596848E1,3.553999939E2
3.310595578E1,3.366125183E2
3.330596093E1,3.358125000E2
3.350596452E1,3.357625122E2
3.370596562E1,1.095250015E2
3.390596244E1,2.131374969E2
3.410594432E1,2.513000031E2
3.430595640E1,1.769000092E2
3.450595859E1,2.219000092E2
3.470595025E1,2.689375000E2
3.490595057E1,1.291250038E1
3.510593708E1,7.041249847E1
3.530594593E1,2.360500031E2
3.550593104E1,2.668000183E2
3.570594395E1,2.748250122E2
3.590592374E1,2.737250061E2
3.610592531E1,3.502250061E2
3.630592567E1,3.484250183E2
3.650593739E1,3.481250000E2
3.670591536E1,3.483750000E2
3.690593281E1,3.483750000E2
3.710591343E1,3.484750061E2
3.730592906E1,3.486250000E2
3.750590916E1,3.486750183E2
3.770592697E1,3.486250000E2
3.790591406E1,3.484250183E2
3.810590640E1,3.486250000E2
3.830590119E1,3.485249939E2
3.850591546E1,3.484250183E2
3.870589692E1,3.481750183E2
3.890591359E1,3.480750122E2
3.910591072E1,3.482250061E2
3.930590656E1,3.482250061E2
3.950588932E1,3.480249939E2
3.970590687E1,3.481750183E2
3.990588525E1,3.480750122E2
4.010588333E1,3.481250000E2
4.030588156E1,3.481750183E2
4.050589176E1,3.479750061E2
4.070587583E1,3.478250122E2
4.090589270E1,3.480249939E2
4.110587380E1,3.479250183E2
4.130588343E1,3.478250122E2
4.150587343E1,3.479750061E2
4.170588015E1,3.479250183E2
4.190587791E1,3.480249939E2
4.210586333E1,3.479250183E2
4.230587312E1,3.478250122E2
4.250587333E1,3.477749939E2
4.270591067E1,3.479250183E2
4.290587270E1,3.477250061E2
4.310585270E1,3.478250122E2
4.330586468E1,3.478250122E2
4.350586562E1,3.477749939E2
4.370586218E1,3.480750122E2
4.390585781E1,3.480750122E2
4.410584390E1,3.478250122E2
4.430585843E1,3.478750000E2
4.450583854E1,3.480750122E2
4.470585515E1,3.481750183E2
4.490583130E1,3.480750122E2
4.510583786E1,3.481750183E2
4.530583025E1,3.481250000E2
4.550584317E1,3.481750183E2
4.570582479E1,3.479250183E2
4.590584270E1,3.478250122E2
4.610582452E1,3.478750000E2
4.630583536E1,3.479250183E2
4.650582239E1,3.478750000E2
4.670583072E1,3.479250183E2
4.690582317E1,3.476750183E2
4.710581713E1,3.477250061E2
4.730580989E1,3.476250000E2
4.750582140E1,3.477250061E2
4.770580645E1,3.475750122E2
4.790581697E1,3.474750061E2
4.810580322E1,3.473750000E2
4.830581572E1,3.476750183E2
4.850579734E1,3.475249939E2
4.870581270E1,3.473750000E2
4.890579400E1,3.472749939E2
4.910579135E1,3.474250183E2
4.930578911E1,3.472250061E2
4.950580333E1,3.472749939E2
4.970578562E1,3.474250183E2
4.990578244E1,3.473250122E2
5.010578286E1,3.470750122E2
5.030579411E1,3.472250061E2
5.050578822E1,3.468750000E2
5.070579025E1,3.470750122E2
5.090578270E1,3.483250122E2
5.110577150E1,3.604375000E2
5.130578916E1,1.673375092E2
5.150578275E1,1.450000000E1
5.170578380E1,1.858749962E1
5.190578020E1,1.664999962E1
5.210576197E1,2.132500076E1
5.230577359E1,1.703750038E1
5.250577046E1,1.660000038E1
5.270576770E1,2.327499962E1
5.290576854E1,2.397500038E1
5.310575140E1,2.332500076E1
5.330576208E1,2.292500114E1
5.350574421E1,2.038750076E1
5.370575682E1,3.697500229E1
5.390574114E1,2.137500000E1
5.410574114E1,1.614999962E1
5.430573775E1,1.868750000E1
5.450575187E1,3.598875122E2
5.470573302E1,3.468750000E2
5.490575130E1,3.467875061E2
5.510573104E1,3.471250000E2
5.530574359E1,3.467875061E2
5.550572734E1,3.467375183E2
5.570574291E1,3.469750061E2
5.590572244E1,3.470750122E2
5.610571921E1,3.474750061E2
5.630571869E1,3.474750061E2
5.650572796E1,3.472749939E2
5.670571463E1,3.471250000E2
5.690572505E1,3.472250061E2
5.710571322E1,3.478750000E2
5.730572921E1,3.492250061E2
5.750570687E1,3.530625000E2
5.770571734E1,2.750750122E2
5.790570135E1,2.378000031E2
5.810570088E1,2.463249969E2
5.830569848E1,3.280000000E2
5.850571317E1,3.477749939E2
5.870569406E1,3.466375122E2
5.890570864E1,3.464875183E2
5.910569025E1,3.465874939E2
5.930570338E1,3.465375061E2
5.950569734E1,3.463875122E2
5.970570119E1,3.465375061E2
5.990568984E1,3.471750183E2
6.010568046E1,3.470249939E2
6.030572911E1,3.462875061E2
6.050568947E1,3.462875061E2
6.070569390E1,3.461875000E2
6.090568156E1,3.459875183E2
6.110566947E1,3.460874939E2
6.130568218E1,3.456875000E2
6.150568005E1,3.456875000E2
6.170567703E1,3.454875183E2
6.190567713E1,3.453875122E2
6.210565880E1,3.455375061E2
