# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.453125000E3,3.026858180E-1
4.476562500E3,4.092225756E-1
4.500000000E3,2.705274397E-1
4.523437500E3,3.937271268E-1
4.546875000E3,3.524741681E-1
4.570312500E3,4.423273445E-1
4.593750000E3,2.344332088E-2
4.617187500E3,3.081251930E-1
4.640625000E3,3.764085719E-1
4.664062500E3,4.907074381E-1
4.687500000E3,5.945792221E-1
4.710937500E3,4.865295318E-1
4.734375000E3,2.676152326E-1
4.757812500E3,8.415355799E-2
4.781250000E3,1.621433789E-1
4.804687500E3,1.910658380E-1
4.828125000E3,1.609032595E-1
4.851562500E3,1.711791351E-1
4.875000000E3,4.464815284E-1
4.898437500E3,4.656119544E-2
4.921875000E3,1.295909692E-1
4.945312500E3,2.481173015E-1
4.968750000E3,1.497503574E-1
4.992187500E3,6.444723817E-2
5.015625000E3,1.579998065E-1
5.039062500E3,2.161140454E-1
5.062500000E3,1.340422995E-1
5.085937500E3,2.230546340E-1
5.109375000E3,1.972936091E-1
5.132812500E3,2.579173482E-1
5.156250000E3,1.736778495E-1
5.179687500E3,2.478592423E-2
5.203125000E3,4.653055783E-2
5.226562500E3,1.527737160E-1
5.250000000E3,6.605566928E-2
5.273437500E3,4.489558997E-2
5.296875000E3,2.583016170E-1
5.320312500E3,1.416802984E-1
5.343750000E3,7.916391705E-2
5.367187500E3,1.280213688E-1
5.390625000E3,1.160973501E-1
5.414062500E3,2.221556957E-1
5.437500000E3,1.289461087E-1
5.460937500E3,1.641695311E-1
5.484375000E3,3.553948742E-1
5.507812500E3,2.785858225E-1
5.531250000E3,1.845743846E-1
5.554687500E3,1.191265650E-1
5.578125000E3,2.315280712E-1
5.601562500E3,9.938562332E-2
5.625000000E3,1.933207701E-1
5.648437500E3,2.749339657E-2
5.671875000E3,1.584762815E-1
5.695312500E3,9.504151992E-2
5.718750000E3,6.840886917E-2
5.742187500E3,2.750752721E-1
5.765625000E3,1.933487255E-1
5.789062500E3,2.638621606E-1
