"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.711998620E-1,4.009526968E-2,-4.609155655E-2,6.976957321E-1
4.761998620E-1,1.783877611E-3,1.079988480E-2,7.824926376E-1
4.811998620E-1,1.825848222E-2,2.229833603E-2,7.823925018E-1
4.861998620E-1,4.819554090E-2,2.675056458E-3,6.549835205E-1
4.911998620E-1,8.016711473E-2,-4.171323776E-2,5.465097427E-1
4.961998620E-1,8.392173052E-2,-5.763912201E-2,3.688182831E-1
5.011998620E-1,1.518195868E-1,-7.776498795E-2,2.371864319E-1
5.061998620E-1,2.256664038E-1,-1.287474632E-1,4.824638367E-2
5.111998620E-1,2.521918714E-1,-1.686959267E-1,-1.221647263E-1
5.161998620E-1,1.735045612E-1,-2.193121910E-1,-3.071060181E-1
5.211998620E-1,5.397386849E-2,-2.837581635E-1,-4.285955429E-1
5.261998620E-1,-2.952297032E-2,-2.655634880E-1,-4.471969604E-1
5.311998620E-1,-6.276093423E-2,-1.675772667E-1,-3.403997421E-1
5.361998620E-1,-1.482979059E-1,-1.138725281E-1,-3.721690178E-1
5.411998620E-1,-2.085364163E-1,-9.282255173E-2,-4.717197418E-1
5.461998620E-1,-3.102647364E-1,-1.023483276E-1,-5.587081909E-1
5.511998620E-1,-3.636189699E-1,-4.632997513E-2,-6.252431870E-1
5.561998620E-1,-3.249515593E-1,3.237390518E-2,-7.589397430E-1
5.611998620E-1,-3.228665888E-1,4.191398621E-2,-9.478330612E-1
5.661998620E-1,-2.600217462E-1,4.780292511E-3,-1.078467369E0
5.711998620E-1,-2.821636796E-1,-1.069402695E-1,-1.204886436E0
5.761998620E-1,-3.841305971E-1,-1.301136017E-1,-1.275413036E0
5.811998620E-1,-4.585876465E-1,-3.718566895E-2,-1.274637699E0
5.861998620E-1,-5.219561458E-1,2.346467972E-2,-1.180679798E0
5.911998620E-1,-5.133006573E-1,9.567928314E-2,-1.043875694E0
5.961998620E-1,-4.863445163E-1,7.708263397E-2,-1.036556244E0
6.011998620E-1,-5.711593628E-1,-1.302270889E-1,-1.270534039E0
6.061998620E-1,-7.044200897E-1,-2.650022507E-1,-1.300379753E0
6.111998620E-1,-8.417274952E-1,-1.279082298E-1,-1.448246956E0
6.161998620E-1,-1.069930911E0,9.382438660E-2,-1.477969170E0
6.211998620E-1,-1.316038609E0,3.447318077E-1,-1.408809662E0
6.261998620E-1,-1.411492944E0,5.092210770E-1,-9.449810982E-1
6.311998620E-1,-1.293817282E0,6.616373062E-1,-9.898042679E-1
6.361998620E-1,-8.999076486E-1,7.342915535E-1,-1.013886929E0
6.411998620E-1,-4.550089538E-1,5.749220848E-1,-1.083684921E0
6.461998620E-1,9.551642835E-2,3.080406189E-1,-7.254195213E-1
6.511998620E-1,4.456641972E-1,2.931118011E-3,-6.863079071E-1
6.561998620E-1,4.860732555E-1,-9.874629974E-2,-7.791070938E-1
6.611998620E-1,5.683187246E-1,-1.358003616E-1,-5.468578339E-1
6.661998620E-1,6.648784280E-1,-1.814813614E-1,6.114578247E-2
6.711998620E-1,7.738835812E-1,-3.170294762E-1,6.257781982E-1
6.761998620E-1,9.020275474E-1,-5.035815239E-1,1.112290382E0
6.811998620E-1,9.548458457E-1,-7.355122566E-1,1.229446888E0
6.861998620E-1,8.462695479E-1,-7.967419624E-1,7.383842468E-1
6.911998620E-1,5.875447989E-1,-2.983775139E-1,5.587997437E-1
6.961998620E-1,8.357366174E-2,3.265690804E-1,6.190652847E-1
7.011998620E-1,-4.343837202E-1,7.805023193E-1,8.607988358E-1
7.061998620E-1,-7.756031752E-1,1.045359135E0,1.001689911E0
7.111998620E-1,-8.700171113E-1,9.921889305E-1,1.029207230E0
7.161998620E-1,-7.003778219E-1,7.778534889E-1,9.914207458E-1
