"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.610393410E-1,1.610399961E0,-3.608760071E1,-2.260659981E1
9.710393410E-1,1.598199964E0,-3.618519974E1,-2.272859955E1
9.810393410E-1,1.488399982E0,-3.616080093E1,-2.274079895E1
9.910393410E-1,1.476199985E0,-3.620959854E1,-2.286279869E1
1.001039341E0,1.451799989E0,-3.629499817E1,-2.302140045E1
1.011039341E0,1.488399982E0,-3.630719757E1,-2.313119888E1
1.021039341E0,1.512799978E0,-3.636819839E1,-2.327759933E1
1.031039341E0,1.573799968E0,-3.630719757E1,-2.325319862E1
1.041039341E0,1.610399961E0,-3.635599899E1,-2.332639885E1
1.051039341E0,1.610399961E0,-3.636819839E1,-2.335079956E1
1.061039341E0,1.695799947E0,-3.646579742E1,-2.339959908E1
1.071039341E0,1.671399951E0,-3.663660049E1,-2.339959908E1
1.081039341E0,1.671399951E0,-3.666099930E1,-2.342399979E1
1.091039341E0,1.622599959E0,-3.684399796E1,-2.357040024E1
1.101039341E0,1.610399961E0,-3.696599960E1,-2.372900009E1
1.111039341E0,1.537199974E0,-3.708799744E1,-2.385099983E1
1.121039341E0,1.524999976E0,-3.705139923E1,-2.399740028E1
1.131039341E0,1.561599970E0,-3.692939758E1,-2.414379883E1
1.141039341E0,1.476199985E0,-3.683179855E1,-2.419260025E1
1.151039341E0,1.415199995E0,-3.662440109E1,-2.437559891E1
1.161039341E0,1.342000008E0,-3.651459885E1,-2.439999962E1
1.171039341E0,1.305400014E0,-3.627059937E1,-2.430239868E1
1.181039341E0,1.244400024E0,-3.611199951E1,-2.416819954E1
1.191039341E0,1.220000029E0,-3.603879929E1,-2.416819954E1
1.201039341E0,1.110199928E0,-3.597779846E1,-2.409499931E1
1.211039341E0,9.759999514E-1,-3.594120026E1,-2.396080017E1
1.221039341E0,9.027999640E-1,-3.588019943E1,-2.392420006E1
1.231039341E0,8.295999765E-1,-3.583139801E1,-2.385099983E1
1.241039341E0,7.441999912E-1,-3.578260040E1,-2.385099983E1
1.251039341E0,5.856000185E-1,-3.585580063E1,-2.389979935E1
1.261039341E0,4.879999757E-1,-3.589239883E1,-2.397299957E1
1.271039341E0,4.635999799E-1,-3.574599838E1,-2.389979935E1
1.281039341E0,5.123999715E-1,-3.572159958E1,-2.388759995E1
1.291039341E0,5.123999715E-1,-3.572159958E1,-2.383880043E1
1.301039341E0,5.245999694E-1,-3.570940018E1,-2.378999901E1
1.311039341E0,6.222000122E-1,-3.573379898E1,-2.375339890E1
1.321039341E0,7.441999912E-1,-3.574599838E1,-2.370459938E1
1.331039341E0,9.393999577E-1,-3.575819778E1,-2.359479904E1
1.341039341E0,1.085799932E0,-3.581919861E1,-2.346059990E1
1.351039341E0,1.183400035E0,-3.601440048E1,-2.342399979E1
1.361039341E0,1.244400024E0,-3.629499817E1,-2.339959908E1
1.371039341E0,1.366400003E0,-3.647800064E1,-2.342399979E1
1.381039341E0,1.512799978E0,-3.659999847E1,-2.337520027E1
1.391039341E0,1.610399961E0,-3.663660049E1,-2.325319862E1
1.401039341E0,1.732399940E0,-3.666099930E1,-2.318000031E1
1.411039341E0,1.781199932E0,-3.667319870E1,-2.319219971E1
1.421039341E0,1.866599917E0,-3.661219788E1,-2.322879982E1
1.431039341E0,1.927599907E0,-3.651459885E1,-2.321660042E1
1.441039341E0,1.988600016E0,-3.634379959E1,-2.314340019E1
1.451039341E0,2.073999882E0,-3.624620056E1,-2.304579926E1
1.461039341E0,2.098399878E0,-3.620959854E1,-2.305799866E1
1.471039341E0,2.110599995E0,-3.612419891E1,-2.315559959E1
1.481039341E0,2.122799873E0,-3.614859772E1,-2.316779900E1
1.491039341E0,2.147199869E0,-3.613639832E1,-2.310680008E1
1.501039341E0,2.171599865E0,-3.612419891E1,-2.313119888E1
1.511039341E0,2.171599865E0,-3.614859772E1,-2.299699974E1
1.521039341E0,2.208199978E0,-3.618519974E1,-2.302140045E1
1.531039341E0,2.208199978E0,-3.620959854E1,-2.302140045E1
1.541039341E0,2.232599974E0,-3.627059937E1,-2.308239937E1
1.551039341E0,2.293599844E0,-3.645359802E1,-2.300919914E1
1.561039341E0,2.305799961E0,-3.653899765E1,-2.299699974E1
1.571039341E0,2.366800070E0,-3.664879990E1,-2.292379951E1
1.581039341E0,2.378999949E0,-3.688059998E1,-2.292379951E1
1.591039341E0,2.440000057E0,-3.702700043E1,-2.298480034E1
1.816473561E0,-7.795799732E0,-3.928400040E1,-1.357859993E1
1.826473561E0,-7.746999741E0,-3.932059860E1,-1.362739944E1
1.836473561E0,-7.600599766E0,-3.935720062E1,-1.360299969E1
1.846473561E0,-7.576200008E0,-3.923519897E1,-1.357859993E1
1.856473561E0,-7.466399670E0,-3.925959778E1,-1.371280003E1
1.866473561E0,-7.368799686E0,-3.925959778E1,-1.365180016E1
1.876473561E0,-7.283400059E0,-3.919860077E1,-1.366399956E1
1.886473561E0,-7.185800076E0,-3.918639755E1,-1.372499943E1
1.896473561E0,-7.027199745E0,-3.923519897E1,-1.379819965E1
1.906473561E0,-6.868599892E0,-3.925959778E1,-1.389579964E1
1.916473561E0,-6.770999908E0,-3.928400040E1,-1.396899986E1
1.926473561E0,-6.624599934E0,-3.936940002E1,-1.413980007E1
1.936473561E0,-6.539199829E0,-3.940599823E1,-1.417640018E1
1.946473561E0,-6.417200089E0,-3.940599823E1,-1.431059933E1
1.956473561E0,-6.331799984E0,-3.946699905E1,-1.449359989E1
1.966473561E0,-6.221999645E0,-3.944260025E1,-1.453020000E1
1.976473561E0,-6.136600018E0,-3.933279800E1,-1.466440010E1
1.986473561E0,-6.002399921E0,-3.932059860E1,-1.476200008E1
1.996473561E0,-5.843800068E0,-3.923519897E1,-1.492059994E1
2.006473561E0,-5.721799850E0,-3.907659912E1,-1.499380016E1
2.016473561E0,-5.599800110E0,-3.893019867E1,-1.510359955E1
2.026473561E0,-5.502200127E0,-3.878379822E1,-1.521339989E1
2.036473561E0,-5.416800022E0,-3.868619919E1,-1.525000000E1
2.046473561E0,-5.392399788E0,-3.858860016E1,-1.537199974E1
2.056473561E0,-5.331399918E0,-3.856419754E1,-1.549399948E1
2.066473561E0,-5.306999683E0,-3.843000031E1,-1.560379982E1
2.076473561E0,-5.306999683E0,-3.833239746E1,-1.570139980E1
2.086473561E0,-5.258199692E0,-3.833239746E1,-1.583559990E1
2.096473561E0,-5.209399700E0,-3.830799866E1,-1.596980000E1
2.106473561E0,-5.245999813E0,-3.833239746E1,-1.607959938E1
2.116473561E0,-5.209399700E0,-3.829579926E1,-1.625040054E1
