"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.334276260E1,-6.257388900E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
1.561377410E-1,5.334276260E1,-6.257388900E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
2.018413774E1,5.334276260E1,-6.257388900E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
4.020013774E1,5.334276260E1,-6.257388900E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
6.022113774E1,5.334276260E1,-6.257388900E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
8.024613774E1,5.334276260E1,-6.257388900E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
1.002801377E2,5.334276260E1,-6.257388900E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
1.202981377E2,5.334309710E1,-6.257465500E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
1.403121377E2,5.334276260E1,-6.257388900E0,NaN,NaN,NaN,1.000000000E2,0.000000000E0
