# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.935155310E-1,9.698999405E0,1.362739944E1,-3.026819992E1,3.458237313E1
7.035155310E-1,9.515999794E0,1.367619991E1,-3.028039932E1,3.456147102E1
7.135155310E-1,9.357399940E0,1.372499943E1,-3.030480003E1,3.455889825E1
7.235155310E-1,9.235400200E0,1.382259941E1,-3.030480003E1,3.456497905E1
7.335155310E-1,9.076799393E0,1.389579964E1,-3.028039932E1,3.453091539E1
7.435155310E-1,9.027999878E0,1.405439949E1,-3.023159981E1,3.453955057E1
7.535155310E-1,8.991399765E0,1.415199947E1,-3.017059898E1,3.451650912E1
7.635155310E-1,8.954799652E0,1.426179981E1,-3.013399887E1,3.452021522E1
7.735155310E-1,9.003600121E0,1.438379955E1,-3.015839958E1,3.460473335E1
7.835155310E-1,9.064599991E0,1.449359989E1,-3.009739876E1,3.461336191E1
7.935155310E-1,9.162199974E0,1.460339928E1,-3.001199913E1,3.461105706E1
8.035155310E-1,9.271999359E0,1.471319962E1,-2.993879890E1,3.462340097E1
8.135155310E-1,9.454999924E0,1.482299995E1,-2.991440010E1,3.469855450E1
8.235155310E-1,9.674599648E0,1.490839958E1,-2.982899857E1,3.472214584E1
8.335155310E-1,9.821000099E0,1.500599957E1,-2.967039871E1,3.466936148E1
8.435155310E-1,1.005280018E1,1.514019966E1,-2.959719849E1,3.473152164E1
8.535155310E-1,1.028460026E1,1.528660011E1,-2.952400017E1,3.480114555E1
8.635155310E-1,1.050419998E1,1.534759998E1,-2.947519875E1,3.485217904E1
8.735155310E-1,1.063840008E1,1.548180008E1,-2.940199852E1,3.489038846E1
8.835155310E-1,1.072379971E1,1.555499935E1,-2.938979912E1,3.493877756E1
8.935155310E-1,1.073600006E1,1.566479969E1,-2.929220009E1,3.490960660E1
9.035155310E-1,1.062619972E1,1.575019932E1,-2.925559998E1,3.488373588E1
9.135155310E-1,1.052859974E1,1.585999966E1,-2.934099960E1,3.497549513E1
9.235155310E-1,1.034560013E1,1.601860046E1,-2.936540031E1,3.501362218E1
9.335155310E-1,1.010159969E1,1.616499901E1,-2.935319901E1,3.499942573E1
9.435155310E-1,9.808799744E0,1.634799957E1,-2.931659889E1,3.497045343E1
9.535155310E-1,9.589200020E0,1.650659943E1,-2.927999878E1,3.495338196E1
9.635155310E-1,9.381799698E0,1.670179939E1,-2.920679855E1,3.492857498E1
9.735155310E-1,9.174399376E0,1.687260056E1,-2.917020035E1,3.492498879E1
9.835155310E-1,9.064599991E0,1.706780052E1,-2.917020035E1,3.499110424E1
9.935155310E-1,8.967000008E0,1.717759895E1,-2.917020035E1,3.501967423E1
1.003515531E0,8.845000267E0,1.722640038E1,-2.917020035E1,3.501261898E1
1.013515531E0,8.747400284E0,1.729960060E1,-2.910919952E1,3.497339974E1
1.023515531E0,8.674200058E0,1.736059952E1,-2.912139893E1,3.499554311E1
1.033515531E0,8.552199364E0,1.737279892E1,-2.918239975E1,3.502237444E1
1.043515531E0,8.442399979E0,1.738500023E1,-2.925559998E1,3.506283617E1
1.053515531E0,8.332599640E0,1.734840012E1,-2.932880020E1,3.507959128E1
1.063515531E0,8.259399414E0,1.733619881E1,-2.937759972E1,3.509707727E1
1.073515531E0,8.173999786E0,1.738500023E1,-2.932880020E1,3.506039114E1
1.083515531E0,8.100799561E0,1.742160034E1,-2.927999878E1,3.502075728E1
1.093515531E0,8.052000046E0,1.742160034E1,-2.936540031E1,3.508095778E1
1.103515531E0,7.990999699E0,1.750699997E1,-2.936540031E1,3.510951238E1
1.113515531E0,7.929999828E0,1.754360008E1,-2.936540031E1,3.511395074E1
1.123515531E0,7.881199837E0,1.754360008E1,-2.932880020E1,3.507235002E1
1.133515531E0,7.844599724E0,1.760459900E1,-2.930439949E1,3.507431368E1
1.143515531E0,7.710399628E0,1.762899971E1,-2.930439949E1,3.505680708E1
1.153515531E0,7.600599766E0,1.766559982E1,-2.932880020E1,3.507165601E1
1.163515531E0,7.600599766E0,1.769000053E1,-2.932880020E1,3.508395298E1
1.173515531E0,7.588399887E0,1.775099945E1,-2.926779938E1,3.506117332E1
1.183515531E0,7.527400017E0,1.770219994E1,-2.918239975E1,3.495199692E1
1.193515531E0,7.527400017E0,1.772659874E1,-2.913360023E1,3.492364123E1
1.203515531E0,7.539599895E0,1.771439934E1,-2.912139893E1,3.490990384E1
